name;classes;school;cast_time;range;duration;material_cost;verbal;somatic;date
Elemental Bane;Druid, Warlock, Wizard, Artificer;Transmutation;Action;27.43;Concentration, up to 1 minute;;1;1;01/03/15
Erupting Earth;Druid, Sorcerer, Wizard;Transmutation;Action;36.58;Instantaneous;a piece of obsidian;1;1;01/03/15
Flame Arrows;Artificer, Druid, Ranger, Sorcerer, Wizard;Transmutation;Action;0.00;Concentration, up to 1 hour;;1;1;01/03/15
Frostbite;Artificer, Druid, Sorcerer, Warlock, Wizard;Evocation;Action;18.29;Instantaneous;;1;1;01/03/15
Gust;Druid, Sorcerer, Wizard;Transmutation;Action;9.15;Instantaneous;;1;1;01/03/15
Ice Knife;Druid, Sorcerer, Wizard;Conjuration;Action;18.29;Instantaneous;a drop of water or piece of ice;0;1;01/03/15
Immolation;Sorcerer, Wizard;Evocation;Action;27.43;Concentration, up to 1 minute;;1;0;01/03/15
Investiture of Flame;Druid, Sorcerer, Warlock, Wizard;Transmutation;Action;0.00;Concentration, up to 10 minutes;;1;1;01/03/15
Investiture of Ice;Druid, Sorcerer, Warlock, Wizard;Transmutation;Action;0.00;Concentration, up to 10 minutes;;1;1;01/03/15
Investiture of Stone;Druid, Sorcerer, Warlock, Wizard;Transmutation;Action;0.00;Concentration, up to 10 minutes;;1;1;01/03/15
Investiture of Wind;Druid, Sorcerer, Warlock, Wizard;Transmutation;Action;0.00;Concentration, up to 10 minutes;;1;1;01/03/15
Maelstrom;Druid;Evocation;Action;36.58;Concentration, up to 1 minute;paper or leaf in the shape of a funnel;1;1;01/03/15
Magic Stone;Druid, Warlock, Artificer;Transmutation;Bonus;0.00;1 minute;;1;1;01/03/15
Maximillian's Earthen Grasp;Sorcerer, Wizard;Transmutation;Action;9.15;Concentration, up to 1 minute;a miniature hand sculpted from clay;1;1;01/03/15
Melf's Minute Meteors;Sorcerer, Wizard;Evocation;Action;36.58;Concentration, up to 10 minutes;niter, sulfur, and pine tar formed into a bead;1;1;01/03/15
Mold Earth;Druid, Sorcerer, Wizard;Transmutation;Action;9.15;Instantaneous or 1 hour;;0;1;01/03/15
Primordial Ward;Druid;Abjuration;Action;0.00;Concentration, up to 1 minute;;1;1;01/03/15
Pyrotechnics;Artificer, Bard, Sorcerer, Wizard;Transmutation;Action;18.29;Instantaneous;;1;1;01/03/15
Shape Water;Druid, Sorcerer, Wizard;Transmutation;Action;9.15;Instantaneous or 1 hour;;0;1;01/03/15
Skywrite;Bard, Druid, Wizard, Artificer;Transmutation;Action;;Concentration, up to 1 day;;1;1;01/03/15
Snilloc's Snowball Storm;Sorcerer, Wizard;Evocation;Action;27.43;Instantaneous;a piece of ice or a small white rock chip;1;1;01/03/15
Storm Sphere;Sorcerer, Wizard;Evocation;Action;45.72;Concentration, up to 1 minute;;1;1;01/03/15
Thunderclap;Bard, Druid, Sorcerer, Warlock, Wizard, Artificer;Evocation;Action;0.00;Instantaneous;;0;1;01/03/15
Tidal Wave;Druid, Wizard;Conjuration;Action;36.58;Instantaneous;a drop of water;1;1;01/03/15
Transmute Rock;Druid, Wizard, Artificer;Transmutation;Action;36.58;Instantaneous;clay and water;1;1;01/03/15
Vitriolic Sphere;Sorcerer, Wizard;Evocation;Action;45.72;Instantaneous;a drop of giant slug bile;1;1;01/03/15
Wall of Sand;Wizard;Evocation;Action;27.43;Concentration, up to 10 minutes;a handful of sand;1;1;01/03/15
Wall of Water;Druid, Sorcerer, Wizard;Evocation;Action;18.29;Concentration, up to 10 minutes;a drop of water;1;1;01/03/15
Warding Wind;Bard, Druid, Sorcerer, Wizard;Evocation;Action;0.00;Concentration, up to 10 minutes;;1;0;01/03/15
Watery Sphere;Druid, Sorcerer, Wizard;Conjuration;Action;27.43;Concentration, up to 1 minute;a droplet of water;1;1;01/03/15
Whirlwind;Druid, Wizard;Evocation;Action;91.44;Concentration, up to 1 minute;a piece of straw;1;0;01/03/15
Booming Blade;Artificer, Sorcerer, Warlock, Wizard;Evocation;Action;0.00;1 round;a melee weapon worth at least 1 sp;0;1;03/11/15
Green-Flame Blade;Artificer, Sorcerer, Warlock, Wizard;Evocation;Action;0.00;Instantaneous;a melee weapon worth at least 1 sp;0;1;03/11/15
Lightning Lure;Artificer, Sorcerer, Warlock, Wizard;Evocation;Action;0.00;Instantaneous;;1;0;03/11/15
Sword Burst;Artificer, Sorcerer, Warlock, Wizard;Conjuration;Action;0.00;Instantaneous;;1;0;03/11/15
Catnap;Artificer, Bard, Sorcerer, Wizard;Enchantment;Action;9.15;10 minutes;a pinch of sand;0;1;22/11/17
Cause Fear;Warlock, Wizard;Necromancy;Action;18.29;Concentration, up to 1 minute;;1;1;22/11/17
Ceremony;Cleric, Paladin;Evocation;Action;0.00;Instantaneous;25 gp worth of powdered silver, which the spell consumes;1;1;22/11/17
Chaos Bolt;Sorcerer;Evocation;Action;36.58;Instantaneous;;1;1;22/11/17
Charm Monster;Bard, Druid, Sorcerer, Warlock, Wizard;Enchantment;Action;9.15;1 hour;;1;1;22/11/17
Crown Of Stars;Sorcerer, Warlock, Wizard;Conjuration;Action;0.00;1 hour;;1;1;22/11/17
Danse Macabre;Warlock, Wizard;Necromancy;Action;18.29;Concentration, up to 1 hour;;1;1;22/11/17
Dawn;Cleric, Wizard;Evocation;Action;18.29;Concentration, up to 1 minute;a sunburst pendant worth at least 100 gp;1;1;22/11/17
Dragon's Breath;Sorcerer, Wizard;Transmutation;Action;0.00;Concentration, up to 1 minute;a hot pepper;1;1;22/11/17
Druid Grove;Druid;Abjuration;10 Minutes;0.00;24 hours;mistletoe, which the spell consumes, that was harvested with a golden sickle under the light of a full moon;1;1;22/11/17
Enemies Abound;Bard, Sorcerer, Warlock, Wizard;Enchantment;Action;36.58;Concentration, up to 1 minute;;1;1;22/11/17
Enervation;Sorcerer, Warlock, Wizard;Necromancy;Action;18.29;Concentration, up to 1 minute;;1;1;22/11/17
Find Greater Steed;Paladin;Conjuration;10 Minutes;9.15;Instantaneous;;1;1;22/11/17
Guardian of Nature;Druid, Ranger;Transmutation;Bonus;0.00;Concentration, up to 1 minute;;1;0;22/11/17
Healing Spirit;Druid, Ranger;Conjuration;Bonus;18.29;Concentration, up to 1 minute;;1;1;22/11/17
Holy Weapon;Cleric, Paladin;Evocation;Bonus;0.00;Concentration, up to 1 hour;;1;1;22/11/17
Illusory Dragon;Wizard;Illusion;Action;36.58;Concentration, up to 1 minute;;0;1;22/11/17
Infernal Calling;Warlock, Wizard;Conjuration;1 Minute;27.43;Concentration, up to 1 hour;a ruby worth at least 999 gp;1;1;22/11/17
Infestation;Druid, Sorcerer, Warlock, Wizard;Conjuration;Action;9.15;Instantaneous;a living flea;1;1;22/11/17
Invulnerability;Wizard;Abjuration;Action;0.00;Concentration, up to 10 minutes;a small piece of adamantine worth at least 500 gp, which the spell consumes;1;1;22/11/17
Life Transference;Cleric, Wizard;Evocation;Action;9.15;Instantaneous;;1;1;22/11/17
Maddening Darkness;Warlock, Wizard;Evocation;Action;45.72;Concentration, up to 10 minutes;a drop of pitch mixed with a drop of mercury;1;0;22/11/17
Mass Polymorph;Bard, Sorcerer, Wizard;Transmutation;Action;36.58;Concentration, up to 1 hour;a caterpillar cocoon;1;1;22/11/17
Mental Prison;Sorcerer, Warlock, Wizard;Illusion;Action;18.29;Concentration, up to 1 minute;;0;1;22/11/17
Mighty Fortress;Wizard;Conjuration;1 Minute;1609.34;Instantaneous;a diamond worth at least 500 gp, which the spell consumes;1;1;22/11/17
Negative Energy Flood;Warlock, Wizard;Necromancy;Action;18.29;Instantaneous;a broken bone and a square of black silk;1;0;22/11/17
Primal Savagery;Druid;Transmutation;Action;0.00;Instantaneous;;0;1;22/11/17
Prismatic Spray;Bard, Sorcerer, Wizard;Evocation;Action;0.00;Instantaneous;;1;1;22/11/17
Scatter;Sorcerer, Warlock, Wizard;Conjuration;Action;9.15;Instantaneous;;1;0;22/11/17
Shadow Blade;Sorcerer, Warlock, Wizard;Illusion;Bonus;0.00;Concentration, up to 1 minute;;1;1;22/11/17
Shadow Of Moil;Warlock;Necromancy;Action;0.00;Concentration, up to 1 minute;an undead eyeball encased in a gem worth at least 150 gp;1;1;22/11/17
Skill Empowerment;Artificer, Bard, Sorcerer, Wizard;Transmutation;Action;0.00;Concentration, up to 1 hour;;1;1;22/11/17
Snare;Artificer, Druid, Ranger, Wizard;Abjuration;1 Minute;0.00;Until dispelled or triggered;30 feet of cord or rope, which is consumed by the spell;1;1;22/11/17
Soul Cage;Warlock, Wizard;Necromancy;Reaction;18.29;8 hours;a tiny silver cage worth 100 gp;1;1;22/11/17
Steel Wind Strike;Ranger, Wizard;Conjuration;Action;9.15;Instantaneous;a melee weapon worth at least 1 sp;0;1;22/11/17
Summon Greater Demon;Warlock, Wizard;Conjuration;Action;18.29;Concentration, up to 1 hour;a vial of blood from a humanoid killed within the past 24 hours;1;1;22/11/17
Summon Lesser Demons;Warlock, Wizard;Conjuration;Action;18.29;Concentration, up to 1 hour;a vial of blood from a humanoid killed within the past 24 hours;1;1;22/11/17
Synaptic Static;Bard, Sorcerer, Warlock, Wizard;Enchantment;Action;36.58;Instantaneous;;1;1;22/11/17
Temple of the Gods;Cleric;Conjuration;1 Hour;36.58;24 hours;a holy symbol worth at least 5 gp;1;1;22/11/17
Tenser's Transformation;Wizard;Transmutation;Action;0.00;Concentration, up to 10 minutes;a few hairs from a bull;1;1;22/11/17
Thunder Step;Sorcerer, Warlock, Wizard;Conjuration;Action;27.43;Instantaneous;;1;0;22/11/17
Tiny Servant;Artificer, Wizard;Transmutation;1 Minute;0.00;8 hours;;1;1;22/11/17
Toll the Dead;Cleric, Warlock, Wizard;Necromancy;Action;18.29;Instantaneous;;1;1;22/11/17
Unearthly Chorus (UA);Bard;Illusion;Action;0.00;Concentration, up to 10 minutes;;1;0;02/02/15
Wrath Of Nature;Druid, Ranger;Evocation;Action;36.58;Concentration, up to 1 minute;;1;1;22/11/17
Zephyr Strike;Ranger;Transmutation;Bonus;0.00;Concentration, up to 1 minute;;1;0;22/11/17
Create Magen;Wizard;Transmutation;1 Hour;0.00;Instantaneous;a vial of quicksilver worth 500 gp and a life-sized human doll, both of which the spell consumes, and an intricate crystal rod worth at least 1,500 gp that is not consumed;1;1;22/11/17
Far Step;Sorcerer, Warlock, Wizard;Conjuration;Bonus;0.00;Concentration, up to 1 minute;;1;0;22/11/17
Mind Spike;Sorcerer, Warlock, Wizard;Divination;Action;18.29;Concentration, up to 1 hour;;0;1;22/11/17
On/Off (UA);Sorcerer, Warlock, Wizard;Transmutation;Action;18.29;Instantaneous;;1;1;02/02/15
Power Word: Pain;Sorcerer, Warlock, Wizard;Enchantment;Action;18.29;Instantaneous;;1;0;22/11/17
Psychic Scream;Bard, Sorcerer, Warlock, Wizard;Enchantment;Action;27.43;Instantaneous;;0;1;22/11/17
Sickening Radiance;Sorcerer, Warlock, Wizard;Evocation;Action;36.58;Concentration, up to 10 minutes;;1;1;22/11/17
Virtue (UA);Cleric;Abjuration;Action;0.00;1 round;;1;1;02/02/15
Wall Of Light;Sorcerer, Warlock, Wizard;Evocation;Action;36.58;Concentration, up to 10 minutes;a hand mirror;1;1;22/11/17
Word of Radiance;Cleric;Evocation;Action;1.52;Instantaneous;a holy symbol;1;0;22/11/17
